"individual","population","mother","father","ploidy"
"W15268-171R","pop1","W6511-1R","VillettaRose",4
"W15268-173R","pop1","W6511-1R","VillettaRose",4
"W15268-174R","pop1","W6511-1R","VillettaRose",4
"W15268-175R","pop1","W6511-1R","VillettaRose",4
"W15268-176R","pop1","W6511-1R","VillettaRose",4
"W15268-179R","pop1","W6511-1R","VillettaRose",4
"W15268-180R","pop1","W6511-1R","VillettaRose",4
"W15268-181R","pop1","W6511-1R","VillettaRose",4
"W15268-182R","pop1","W6511-1R","VillettaRose",4
"W15268-183R","pop1","W6511-1R","VillettaRose",4
"W15268-184R","pop1","W6511-1R","VillettaRose",4
"W15268-185R","pop1","W6511-1R","VillettaRose",4
"W15268-186R","pop1","W6511-1R","VillettaRose",4
"W15268-187R","pop1","W6511-1R","VillettaRose",4
"W15268-188R","pop1","W6511-1R","VillettaRose",4
"W15268-189R","pop1","W6511-1R","VillettaRose",4
"W15268-190R","pop1","W6511-1R","VillettaRose",4
"W15268-192R","pop1","W6511-1R","VillettaRose",4
"W15268-193R","pop1","W6511-1R","VillettaRose",4
"W15268-195R","pop1","W6511-1R","VillettaRose",4
"W15268-196R","pop1","W6511-1R","VillettaRose",4
"W15268-197R","pop1","W6511-1R","VillettaRose",4
"W15268-198R","pop1","W6511-1R","VillettaRose",4
"W15268-200R","pop1","W6511-1R","VillettaRose",4
"W15268-201R","pop1","W6511-1R","VillettaRose",4
"W15268-203R","pop1","W6511-1R","VillettaRose",4
"W15268-204R","pop1","W6511-1R","VillettaRose",4
"W15268-205R","pop1","W6511-1R","VillettaRose",4
"W15268-207R","pop1","W6511-1R","VillettaRose",4
"W15268-208R","pop1","W6511-1R","VillettaRose",4
"W15268-209R","pop1","W6511-1R","VillettaRose",4
"W15268-210R","pop1","W6511-1R","VillettaRose",4
"W15268-212R","pop1","W6511-1R","VillettaRose",4
"W15268-213R","pop1","W6511-1R","VillettaRose",4
"W15268-214R","pop1","W6511-1R","VillettaRose",4
